PrimaryKey,LineKey,PlotID,Yr,Trt,SH_GR,AF_I,AF_N,AG_I,PF_N,PG_I,PG_N,SH_N,PF_I,GAP
101C,101C_15,101C,2021,C,HSHG,5,1.666666667,5,5,0,23.33333333,36.66666667,NA,36.66666667
101C,101C_2,101C,2021,C,HSHG,0,3.333333333,1.666666667,5,0,25,63.33333333,NA,18.33333333
101C,101C_28,101C,2021,C,HSHG,0,0,0,5,0,15,51.66666667,NA,35
101T,101T_15,101T,2021,T,HSHG,0,1.666666667,1.666666667,6.666666667,0,31.66666667,43.33333333,NA,30
101T,101T_2,101T,2021,T,HSHG,0,0,0,6.666666667,0,30,38.33333333,NA,36.66666667
101T,101T_28,101T,2021,T,HSHG,0,0,1.666666667,3.333333333,0,23.33333333,48.33333333,NA,31.66666667
102T,102T_15,102T,2021,T,HSHG,0,0,3.333333333,21.66666667,0,63.33333333,53.33333333,NA,5
102T,102T_2,102T,2021,T,HSHG,0,0,3.333333333,16.66666667,0,36.66666667,78.33333333,NA,11.66666667
102T,102T_28,102T,2021,T,HSHG,0,0,10,21.66666667,0,53.33333333,55,NA,10
103C,103C_15,103C,2021,C,HSHG,0,0,6.666666667,21.66666667,0,33.33333333,53.33333333,NA,15
103C,103C_2,103C,2021,C,HSHG,0,0,6.666666667,10,0,38.33333333,46.66666667,NA,21.66666667
103C,103C_28,103C,2021,C,HSHG,0,0,0,6.666666667,0,41.66666667,53.33333333,NA,23.33333333
103T,103T_15,103T,2021,T,HSHG,0,0,0,10,0,41.66666667,65,NA,20
103T,103T_2,103T,2021,T,HSHG,0,0,0,20,0,31.66666667,58.33333333,NA,23.33333333
103T,103T_28,103T,2021,T,HSHG,0,0,0,20,0,28.33333333,68.33333333,NA,16.66666667
104C,104C_15,104C,2021,C,HSHG,0,0,8.333333333,13.33333333,0,51.66666667,50,NA,18.33333333
104C,104C_2,104C,2021,C,HSHG,0,0,6.666666667,5,0,53.33333333,55,NA,5
104C,104C_28,104C,2021,C,HSHG,0,0,3.333333333,5,0,43.33333333,53.33333333,NA,18.33333333
104T,104T_15,104T,2021,T,HSHG,0,0,0,26.66666667,0,30,21.66666667,NA,38.33333333
104T,104T_2,104T,2021,T,HSHG,0,0,0,18.33333333,0,33.33333333,48.33333333,NA,16.66666667
104T,104T_28,104T,2021,T,HSHG,0,0,0,20,0,10,20,NA,56.66666667
