"","PlotID","EstablishDate","GPSCoordSys","Datum","Zone","Easting","Northing","Longitude","Latitude","Elevation","AvgPrecip","EcolSite","EcolSiteNum","Soil","MapUnitComponent","Slope","Aspect","ESD_SlopeShape","LandscapeType","LandscapeTypeSecondary","RecentWeatherPast12","RecentWeatherPrevious12","DisturbWildfire","DisturbRodents","DisturbMammals","WildlifeUse","MgtHistory","OffsiteInfluences","Comments"
"1","Kent1",2017-07-14,"UTM","WGS84",11,710844.6,4814323.56,-80.7408863491652,5.17493742505176,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"2","Kent2",2017-07-13,"UTM","WGS84",11,710305.44,4811941.87,-114.401650494555,43.4308553894418,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"3","LPC1",2017-07-13,"UTM","WGS84",11,710565.01,4805304.21,-114.401001921349,43.3710756310542,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"4","LPC2",2017-07-13,"UTM","WGS84",11,709660.81,4805686.14,-114.412005045584,43.3747641992727,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"5","Kent3",2017-07-13,"UTM","WGS84",11,710420.17,4813368.95,-114.399684417182,43.4436599289451,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"6","LPC3",2017-07-13,"UTM","WGS84",11,710151.57,4803514.22,-114.406786237872,43.3550899914409,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"7","LPC4",2017-07-13,"UTM","WGS84",11,710572.25,4802826.89,-114.401864331728,43.3487895007793,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"8","LPC5",2017-07-13,"UTM","WGS84",11,709795.82,4802529.88,-114.411548264413,43.3463349445543,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"9","LRC1",2017-07-13,"UTM","WGS84",11,713408.04,4804393.47,-114.366301353719,43.3620809945539,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"10","LRC2",2017-07-13,"UTM","WGS84",11,714133.01,4805560.48,-114.35690766741,43.3723718429066,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"11","ST4",2017-07-14,"UTM","WGS84",11,710483,4807147,-114.401304815776,43.3876749164273,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"12","ST2",2017-09-14,"UTM","WGS84",11,708705.06,4808913.61,-114.422560074466,43.4040626995971,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"13","ST3",2017-07-13,"UTM","WGS84",11,711530,4810181,-114.38721804878,43.4146716377446,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"14","NE1",2017-07-13,"UTM","WGS84",11,713528,4815399,-114.360523899121,43.4610403827076,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"15","NE2",2017-07-14,"UTM","WGS84",11,712027,4812434,-114.380211100573,43.4347969871083,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"16","SE2",2017-07-14,"UTM","WGS84",11,711808.25,4805147.79,-114.385732763093,43.3693189864573,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"17","SE3",2017-07-13,"UTM","WGS84",11,713051.64,4805494.29,-114.370267160806,43.3720840494992,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"18","ST10",2017-07-13,"UTM","WGS84",11,710124.99,4806390.77,-114.406010733988,43.3809727663535,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"19","ST13",2017-07-13,"UTM","WGS84",11,707250.97,4809240.49,-114.440376060142,43.407406314797,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
"20","ST14",2017-07-14,"UTM","WGS84",11,707215.47,4810385.3,-114.4403801145,43.4177141931899,0,0," UNKNOWN",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA
