PrimaryKey,LineKey,cover_type,percent
101C_2021,101C_15_2021,AF_I,5
101C_2021,101C_15_2021,AF_N,1.666666667
101C_2021,101C_15_2021,AG_I,5
101C_2021,101C_15_2021,PF_N,5
101C_2021,101C_15_2021,PG_I,0
101C_2021,101C_15_2021,PG_N,23.33333333
101C_2021,101C_15_2021,SH_N,36.66666667
101C_2021,101C_15_2021,PF_I,NA
101C_2021,101C_15_2021,GAP,36.66666667
101C_2021,101C_2_2021,AF_I,0
101C_2021,101C_2_2021,AF_N,3.333333333
101C_2021,101C_2_2021,AG_I,1.666666667
101C_2021,101C_2_2021,PF_N,5
101C_2021,101C_2_2021,PG_I,0
101C_2021,101C_2_2021,PG_N,25
101C_2021,101C_2_2021,SH_N,63.33333333
101C_2021,101C_2_2021,PF_I,NA
101C_2021,101C_2_2021,GAP,18.33333333
101C_2021,101C_28_2021,AF_I,0
101C_2021,101C_28_2021,AF_N,0
101C_2021,101C_28_2021,AG_I,0
101C_2021,101C_28_2021,PF_N,5
101C_2021,101C_28_2021,PG_I,0
101C_2021,101C_28_2021,PG_N,15
101C_2021,101C_28_2021,SH_N,51.66666667
101C_2021,101C_28_2021,PF_I,NA
101C_2021,101C_28_2021,GAP,35
101T_2021,101T_15_2021,AF_I,0
101T_2021,101T_15_2021,AF_N,1.666666667
101T_2021,101T_15_2021,AG_I,1.666666667
101T_2021,101T_15_2021,PF_N,6.666666667
101T_2021,101T_15_2021,PG_I,0
101T_2021,101T_15_2021,PG_N,31.66666667
101T_2021,101T_15_2021,SH_N,43.33333333
101T_2021,101T_15_2021,PF_I,NA
101T_2021,101T_15_2021,GAP,30
101T_2021,101T_2_2021,AF_I,0
101T_2021,101T_2_2021,AF_N,0
101T_2021,101T_2_2021,AG_I,0
101T_2021,101T_2_2021,PF_N,6.666666667
101T_2021,101T_2_2021,PG_I,0
101T_2021,101T_2_2021,PG_N,30
101T_2021,101T_2_2021,SH_N,38.33333333
101T_2021,101T_2_2021,PF_I,NA
101T_2021,101T_2_2021,GAP,36.66666667
101T_2021,101T_28_2021,AF_I,0
101T_2021,101T_28_2021,AF_N,0
101T_2021,101T_28_2021,AG_I,1.666666667
101T_2021,101T_28_2021,PF_N,3.333333333
101T_2021,101T_28_2021,PG_I,0
101T_2021,101T_28_2021,PG_N,23.33333333
101T_2021,101T_28_2021,SH_N,48.33333333
101T_2021,101T_28_2021,PF_I,NA
101T_2021,101T_28_2021,GAP,31.66666667
102T_2021,102T_15_2021,AF_I,0
102T_2021,102T_15_2021,AF_N,0
102T_2021,102T_15_2021,AG_I,3.333333333
102T_2021,102T_15_2021,PF_N,21.66666667
102T_2021,102T_15_2021,PG_I,0
102T_2021,102T_15_2021,PG_N,63.33333333
102T_2021,102T_15_2021,SH_N,53.33333333
102T_2021,102T_15_2021,PF_I,NA
102T_2021,102T_15_2021,GAP,5
102T_2021,102T_2_2021,AF_I,0
102T_2021,102T_2_2021,AF_N,0
102T_2021,102T_2_2021,AG_I,3.333333333
102T_2021,102T_2_2021,PF_N,16.66666667
102T_2021,102T_2_2021,PG_I,0
102T_2021,102T_2_2021,PG_N,36.66666667
102T_2021,102T_2_2021,SH_N,78.33333333
102T_2021,102T_2_2021,PF_I,NA
102T_2021,102T_2_2021,GAP,11.66666667
102T_2021,102T_28_2021,AF_I,0
102T_2021,102T_28_2021,AF_N,0
102T_2021,102T_28_2021,AG_I,10
102T_2021,102T_28_2021,PF_N,21.66666667
102T_2021,102T_28_2021,PG_I,0
102T_2021,102T_28_2021,PG_N,53.33333333
102T_2021,102T_28_2021,SH_N,55
102T_2021,102T_28_2021,PF_I,NA
102T_2021,102T_28_2021,GAP,10
103C_2021,103C_15_2021,AF_I,0
103C_2021,103C_15_2021,AF_N,0
103C_2021,103C_15_2021,AG_I,6.666666667
103C_2021,103C_15_2021,PF_N,21.66666667
103C_2021,103C_15_2021,PG_I,0
103C_2021,103C_15_2021,PG_N,33.33333333
103C_2021,103C_15_2021,SH_N,53.33333333
103C_2021,103C_15_2021,PF_I,NA
103C_2021,103C_15_2021,GAP,15
103C_2021,103C_2_2021,AF_I,0
103C_2021,103C_2_2021,AF_N,0
103C_2021,103C_2_2021,AG_I,6.666666667
103C_2021,103C_2_2021,PF_N,10
103C_2021,103C_2_2021,PG_I,0
103C_2021,103C_2_2021,PG_N,38.33333333
103C_2021,103C_2_2021,SH_N,46.66666667
103C_2021,103C_2_2021,PF_I,NA
103C_2021,103C_2_2021,GAP,21.66666667
