PrimaryKey,LineKey,PlotID,Line,Yr,Trt,SH_GR
101C_2021,101C_15_2021,101C,101C_15,2021,C,HSHG
101C_2021,101C_2_2021,101C,101C_2,2021,C,HSHG
101C_2021,101C_28_2021,101C,101C_28,2021,C,HSHG
101T_2021,101T_15_2021,101T,101T_15,2021,T,HSHG
101T_2021,101T_2_2021,101T,101T_2,2021,T,HSHG
101T_2021,101T_28_2021,101T,101T_28,2021,T,HSHG
102T_2021,102T_15_2021,102T,102T_15,2021,T,HSHG
102T_2021,102T_2_2021,102T,102T_2,2021,T,HSHG
102T_2021,102T_28_2021,102T,102T_28,2021,T,HSHG
103C_2021,103C_15_2021,103C,103C_15,2021,C,HSHG
103C_2021,103C_2_2021,103C,103C_2,2021,C,HSHG
103C_2021,103C_28_2021,103C,103C_28,2021,C,HSHG
103T_2021,103T_15_2021,103T,103T_15,2021,T,HSHG
103T_2021,103T_2_2021,103T,103T_2,2021,T,HSHG
103T_2021,103T_28_2021,103T,103T_28,2021,T,HSHG
104C_2021,104C_15_2021,104C,104C_15,2021,C,HSHG
104C_2021,104C_2_2021,104C,104C_2,2021,C,HSHG
104C_2021,104C_28_2021,104C,104C_28,2021,C,HSHG
104T_2021,104T_15_2021,104T,104T_15,2021,T,HSHG
104T_2021,104T_2_2021,104T,104T_2,2021,T,HSHG
104T_2021,104T_28_2021,104T,104T_28,2021,T,HSHG
105T_2021,105T_15_2021,105T,105T_15,2021,T,HSHG
105T_2021,105T_2_2021,105T,105T_2,2021,T,HSHG
105T_2021,105T_28_2021,105T,105T_28,2021,T,HSHG
201C_2021,201C_15_2021,201C,201C_15,2021,C,HSLG
201C_2021,201C_2_2021,201C,201C_2,2021,C,HSLG
201C_2021,201C_28_2021,201C,201C_28,2021,C,HSLG
201T_2021,201T_15_2021,201T,201T_15,2021,T,HSLG
201T_2021,201T_2_2021,201T,201T_2,2021,T,HSLG
201T_2021,201T_28_2021,201T,201T_28,2021,T,HSLG
202C_2021,202C_15_2021,202C,202C_15,2021,C,HSLG
202C_2021,202C_2_2021,202C,202C_2,2021,C,HSLG
202C_2021,202C_28_2021,202C,202C_28,2021,C,HSLG
202T_2021,202T_15_2021,202T,202T_15,2021,T,HSLG
202T_2021,202T_2_2021,202T,202T_2,2021,T,HSLG
202T_2021,202T_28_2021,202T,202T_28,2021,T,HSLG
203C_2021,203C_15_2021,203C,203C_15,2021,C,HSLG
203C_2021,203C_2_2021,203C,203C_2,2021,C,HSLG
203C_2021,203C_28_2021,203C,203C_28,2021,C,HSLG
203T_2021,203T_15_2021,203T,203T_15,2021,T,HSLG
203T_2021,203T_2_2021,203T,203T_2,2021,T,HSLG
203T_2021,203T_28_2021,203T,203T_28,2021,T,HSLG
204C_2021,204C_15_2021,204C,204C_15,2021,C,HSLG
204C_2021,204C_2_2021,204C,204C_2,2021,C,HSLG
204C_2021,204C_28_2021,204C,204C_28,2021,C,HSLG
204T_2021,204T_15_2021,204T,204T_15,2021,T,HSLG
204T_2021,204T_2_2021,204T,204T_2,2021,T,HSLG
204T_2021,204T_28_2021,204T,204T_28,2021,T,HSLG
301C_2021,301C_15_2021,301C,301C_15,2021,C,LSHG
301C_2021,301C_2_2021,301C,301C_2,2021,C,LSHG
301C_2021,301C_28_2021,301C,301C_28,2021,C,LSHG
301T_2021,301T_15_2021,301T,301T_15,2021,T,LSHG
301T_2021,301T_2_2021,301T,301T_2,2021,T,LSHG
301T_2021,301T_28_2021,301T,301T_28,2021,T,LSHG
302C_2021,302C_15_2021,302C,302C_15,2021,C,LSHG
302C_2021,302C_2_2021,302C,302C_2,2021,C,LSHG
302C_2021,302C_28_2021,302C,302C_28,2021,C,LSHG
302T_2021,302T_15_2021,302T,302T_15,2021,T,LSHG
302T_2021,302T_2_2021,302T,302T_2,2021,T,LSHG
302T_2021,302T_28_2021,302T,302T_28,2021,T,LSHG
303C_2021,303C_15_2021,303C,303C_15,2021,C,LSHG
303C_2021,303C_2_2021,303C,303C_2,2021,C,LSHG
303C_2021,303C_28_2021,303C,303C_28,2021,C,LSHG
303T_2021,303T_15_2021,303T,303T_15,2021,T,LSHG
303T_2021,303T_2_2021,303T,303T_2,2021,T,LSHG
303T_2021,303T_28_2021,303T,303T_28,2021,T,LSHG
304C_2021,304C_15_2021,304C,304C_15,2021,C,LSHG
304C_2021,304C_2_2021,304C,304C_2,2021,C,LSHG
304C_2021,304C_28_2021,304C,304C_28,2021,C,LSHG
304T_2021,304T_15_2021,304T,304T_15,2021,T,LSHG
304T_2021,304T_2_2021,304T,304T_2,2021,T,LSHG
304T_2021,304T_28_2021,304T,304T_28,2021,T,LSHG
305T_2021,305T_15_2021,305T,305T_15,2021,T,LSHG
305T_2021,305T_2_2021,305T,305T_2,2021,T,LSHG
305T_2021,305T_28_2021,305T,305T_28,2021,T,LSHG
401C_2021,401C_15_2021,401C,401C_15,2021,C,LSLG
401C_2021,401C_2_2021,401C,401C_2,2021,C,LSLG
401C_2021,401C_28_2021,401C,401C_28,2021,C,LSLG
401T_2021,401T_15_2021,401T,401T_15,2021,T,LSLG
401T_2021,401T_2_2021,401T,401T_2,2021,T,LSLG
401T_2021,401T_28_2021,401T,401T_28,2021,T,LSLG
402C_2021,402C_15_2021,402C,402C_15,2021,C,LSLG
402C_2021,402C_2_2021,402C,402C_2,2021,C,LSLG
402C_2021,402C_28_2021,402C,402C_28,2021,C,LSLG
402T_2021,402T_15_2021,402T,402T_15,2021,T,LSLG
402T_2021,402T_2_2021,402T,402T_2,2021,T,LSLG
402T_2021,402T_28_2021,402T,402T_28,2021,T,LSLG
101C_2022,101C_15_2022,101C,101C_15,2022,C,HSHG
101C_2022,101C_2_2022,101C,101C_2,2022,C,HSHG
101C_2022,101C_28_2022,101C,101C_28,2022,C,HSHG
101T_2022,101T_15_2022,101T,101T_15,2022,T,HSHG
101T_2022,101T_2_2022,101T,101T_2,2022,T,HSHG
101T_2022,101T_28_2022,101T,101T_28,2022,T,HSHG
102C_2022,102C_2_2022,102C,102C_2,2022,C,HSHG
102C_2022,102C_28_2022,102C,102C_28,2022,C,HSHG
102T_2022,102T_15_2022,102T,102T_15,2022,T,HSHG
102T_2022,102T_2_2022,102T,102T_2,2022,T,HSHG
102T_2022,102T_28_2022,102T,102T_28,2022,T,HSHG
103C_2022,103C_15_2022,103C,103C_15,2022,C,HSHG
103C_2022,103C_2_2022,103C,103C_2,2022,C,HSHG
103C_2022,103C_28_2022,103C,103C_28,2022,C,HSHG
103T_2022,103T_15_2022,103T,103T_15,2022,T,HSHG
103T_2022,103T_2_2022,103T,103T_2,2022,T,HSHG
103T_2022,103T_28_2022,103T,103T_28,2022,T,HSHG
104C_2022,104C_15_2022,104C,104C_15,2022,C,HSHG
104C_2022,104C_2_2022,104C,104C_2,2022,C,HSHG
104C_2022,104C_28_2022,104C,104C_28,2022,C,HSHG
104T_2022,104T_15_2022,104T,104T_15,2022,T,HSHG
104T_2022,104T_28_2022,104T,104T_28,2022,T,HSHG
